"Num","Name","Alias","SerebiiLink","SpritePath"
"930","Wugtrio","wugtrio","pokemon/wugtrio/","https://www.serebii.net/scarletviolet/pokemon/930.png"
"931","Dondozo","dondozo","pokemon/dondozo/","https://www.serebii.net/scarletviolet/pokemon/931.png"
"932","Veluza","veluza","pokemon/veluza/","https://www.serebii.net/scarletviolet/pokemon/932.png"
"933","Finizen","finizen","pokemon/finizen/","https://www.serebii.net/scarletviolet/pokemon/933.png"
"934","Palafin (Zero)","palafin-zero","pokemon/palafin/","https://www.serebii.net/scarletviolet/pokemon/934.png"
"934","Palafin (Hero)","palafin-hero","pokemon/palafin/","https://www.serebii.net/scarletviolet/pokemon/934-h.png"
"935","Smoliv","smoliv","pokemon/smoliv/","https://www.serebii.net/scarletviolet/pokemon/935.png"
"936","Dolliv","dolliv","pokemon/dolliv/","https://www.serebii.net/scarletviolet/pokemon/936.png"
"937","Arboliva","arboliva","pokemon/arboliva/","https://www.serebii.net/scarletviolet/pokemon/937.png"
"938","Capsakid","capsakid","pokemon/capsakid/","https://www.serebii.net/scarletviolet/pokemon/938.png"
"939","Scovillain","scovillain","pokemon/scovillain/","https://www.serebii.net/scarletviolet/pokemon/939.png"
"940","Tadbulb","tadbulb","pokemon/tadbulb/","https://www.serebii.net/scarletviolet/pokemon/940.png"
"941","Bellibolt","bellibolt","pokemon/bellibolt/","https://www.serebii.net/scarletviolet/pokemon/941.png"
"942","Varoom","varoom","pokemon/varoom/","https://www.serebii.net/scarletviolet/pokemon/942.png"
"943","Revavroom","revavroom","pokemon/revavroom/","https://www.serebii.net/scarletviolet/pokemon/943.png"
"944","Orthworm","orthworm","pokemon/orthworm/","https://www.serebii.net/scarletviolet/pokemon/944.png"
"945","Tandemaus","tandemaus","pokemon/tandemaus/","https://www.serebii.net/scarletviolet/pokemon/945.png"
"946","Maushold (Family of Three)","maushold-family-of-three","pokemon/maushold/","https://www.serebii.net/scarletviolet/pokemon/946.png"
"946","Maushold (Family of Four)","maushold-family-of-four","pokemon/maushold/","https://www.serebii.net/scarletviolet/pokemon/946-f.png"
"947","Cetoddle","cetoddle","pokemon/cetoddle/","https://www.serebii.net/scarletviolet/pokemon/947.png"
"948","Cetitan","cetitan","pokemon/cetitan/","https://www.serebii.net/scarletviolet/pokemon/948.png"
"949","Frigibax","frigibax","pokemon/frigibax/","https://www.serebii.net/scarletviolet/pokemon/949.png"
"950","Arctibax","arctibax","pokemon/arctibax/","https://www.serebii.net/scarletviolet/pokemon/950.png"
"951","Baxcalibur","baxcalibur","pokemon/baxcalibur/","https://www.serebii.net/scarletviolet/pokemon/951.png"
"952","Tatsugiri (Curly)","tatsugiri-curly","pokemon/tatsugiri/","https://www.serebii.net/scarletviolet/pokemon/952.png"
"952","Tatsugiri (Droopy)","tatsugiri-droopy","pokemon/tatsugiri/","https://www.serebii.net/scarletviolet/pokemon/952-d.png"
"952","Tatsugiri (Stretch)","tatsugiri-stretch","pokemon/tatsugiri/","https://www.serebii.net/scarletviolet/pokemon/952-s.png"
"953","Cyclizar","cyclizar","pokemon/cyclizar/","https://www.serebii.net/scarletviolet/pokemon/953.png"
"954","Pawmi","pawmi","pokemon/pawmi/","https://www.serebii.net/scarletviolet/pokemon/954.png"
"955","Pawmo","pawmo","pokemon/pawmo/","https://www.serebii.net/scarletviolet/pokemon/955.png"
"956","Pawmot","pawmot","pokemon/pawmot/","https://www.serebii.net/scarletviolet/pokemon/956.png"
"957","Wattrel","wattrel","pokemon/wattrel/","https://www.serebii.net/scarletviolet/pokemon/957.png"
"958","Kilowattrel","kilowattrel","pokemon/kilowattrel/","https://www.serebii.net/scarletviolet/pokemon/958.png"
"959","Bombirdier","bombirdier","pokemon/bombirdier/","https://www.serebii.net/scarletviolet/pokemon/959.png"
"960","Squawkabilly (Green Plumage)","squawkabilly-green-plumage","pokemon/squawkabilly/","https://www.serebii.net/scarletviolet/pokemon/960.png"
"960","Squawkabilly (Blue Plumage)","squawkabilly-blue-plumage","pokemon/squawkabilly/","https://www.serebii.net/scarletviolet/pokemon/960-b.png"
"960","Squawkabilly (Yellow Plumage)","squawkabilly-yellow-plumage","pokemon/squawkabilly/","https://www.serebii.net/scarletviolet/pokemon/960-y.png"
"960","Squawkabilly (White Plumage)","squawkabilly-white-plumage","pokemon/squawkabilly/","https://www.serebii.net/scarletviolet/pokemon/960-w.png"
"961","Flamigo","flamigo","pokemon/flamigo/","https://www.serebii.net/scarletviolet/pokemon/961.png"
"962","Klawf","klawf","pokemon/klawf/","https://www.serebii.net/scarletviolet/pokemon/962.png"
"963","Nacli","nacli","pokemon/nacli/","https://www.serebii.net/scarletviolet/pokemon/963.png"
"964","Naclstack","naclstack","pokemon/naclstack/","https://www.serebii.net/scarletviolet/pokemon/964.png"
"965","Garganacl","garganacl","pokemon/garganacl/","https://www.serebii.net/scarletviolet/pokemon/965.png"
"966","Glimmet","glimmet","pokemon/glimmet/","https://www.serebii.net/scarletviolet/pokemon/966.png"
"967","Glimmora","glimmora","pokemon/glimmora/","https://www.serebii.net/scarletviolet/pokemon/967.png"
"968","Shroodle","shroodle","pokemon/shroodle/","https://www.serebii.net/scarletviolet/pokemon/968.png"
"969","Grafaiai","grafaiai","pokemon/grafaiai/","https://www.serebii.net/scarletviolet/pokemon/969.png"
"970","Fidough","fidough","pokemon/fidough/","https://www.serebii.net/scarletviolet/pokemon/970.png"
"971","Dachsbun","dachsbun","pokemon/dachsbun/","https://www.serebii.net/scarletviolet/pokemon/971.png"
"972","Maschiff","maschiff","pokemon/maschiff/","https://www.serebii.net/scarletviolet/pokemon/972.png"
"973","Mabosstiff","mabosstiff","pokemon/mabosstiff/","https://www.serebii.net/scarletviolet/pokemon/973.png"
"974","Bramblin","bramblin","pokemon/bramblin/","https://www.serebii.net/scarletviolet/pokemon/974.png"
"975","Brambleghast","brambleghast","pokemon/brambleghast/","https://www.serebii.net/scarletviolet/pokemon/975.png"
"976","Gimmighoul (Chest)","gimmighoul-chest","pokemon/gimmighoul/","https://www.serebii.net/scarletviolet/pokemon/976.png"
"976","Gimmighoul (Roaming)","gimmighoul-roaming","pokemon/gimmighoul/","https://www.serebii.net/scarletviolet/pokemon/976-r.png"
"977","Gholdengo","gholdengo","pokemon/gholdengo/","https://www.serebii.net/scarletviolet/pokemon/977.png"
"978","Great Tusk","greattusk","pokemon/greattusk/","https://www.serebii.net/scarletviolet/pokemon/978.png"
"979","Brute Bonnet","brutebonnet","pokemon/brutebonnet/","https://www.serebii.net/scarletviolet/pokemon/979.png"
"981","Sandy Shocks","sandyshocks","pokemon/sandyshocks/","https://www.serebii.net/scarletviolet/pokemon/981.png"
"982","Scream Tail","screamtail","pokemon/screamtail/","https://www.serebii.net/scarletviolet/pokemon/982.png"
"983","Flutter Mane","fluttermane","pokemon/fluttermane/","https://www.serebii.net/scarletviolet/pokemon/983.png"
"984","Slither Wing","slitherwing","pokemon/slitherwing/","https://www.serebii.net/scarletviolet/pokemon/984.png"
"985","Roaring Moon","roaringmoon","pokemon/roaringmoon/","https://www.serebii.net/scarletviolet/pokemon/985.png"
"986","Iron Treads","irontreads","pokemon/irontreads/","https://www.serebii.net/scarletviolet/pokemon/986.png"
"988","Iron Moth","ironmoth","pokemon/ironmoth/","https://www.serebii.net/scarletviolet/pokemon/988.png"
"989","Iron Hands","ironhands","pokemon/ironhands/","https://www.serebii.net/scarletviolet/pokemon/989.png"
"990","Iron Jugulis","ironjugulis","pokemon/ironjugulis/","https://www.serebii.net/scarletviolet/pokemon/990.png"
"991","Iron Thorns","ironthorns","pokemon/ironthorns/","https://www.serebii.net/scarletviolet/pokemon/991.png"
"992","Iron Bundle","ironbundle","pokemon/ironbundle/","https://www.serebii.net/scarletviolet/pokemon/992.png"
"993","Iron Valiant","ironvaliant","pokemon/ironvaliant/","https://www.serebii.net/scarletviolet/pokemon/993.png"
"994","Ting-Lu","ting-lu","pokemon/ting-lu/","https://www.serebii.net/scarletviolet/pokemon/994.png"
"995","Chien-Pao","chien-pao","pokemon/chien-pao/","https://www.serebii.net/scarletviolet/pokemon/995.png"
"996","Wo-Chien","wo-chien","pokemon/wo-chien/","https://www.serebii.net/scarletviolet/pokemon/996.png"
"997","Chi-Yu","chi-yu","pokemon/chi-yu/","https://www.serebii.net/scarletviolet/pokemon/997.png"
"998","Koraidon","koraidon","pokemon/koraidon/","https://www.serebii.net/scarletviolet/pokemon/998.png"
"999","Miraidon","miraidon","pokemon/miraidon/","https://www.serebii.net/scarletviolet/pokemon/999.png"
"1000","Tinkatink","tinkatink","pokemon/tinkatink/","https://www.serebii.net/scarletviolet/pokemon/1000.png"
"1001","Tinkatuff","tinkatuff","pokemon/tinkatuff/","https://www.serebii.net/scarletviolet/pokemon/1001.png"
"1002","Tinkaton","tinkaton","pokemon/tinkaton/","https://www.serebii.net/scarletviolet/pokemon/1002.png"
"1003","Charcadet","charcadet","pokemon/charcadet/","https://www.serebii.net/scarletviolet/pokemon/1003.png"
"1004","Armarouge","armarouge","pokemon/armarouge/","https://www.serebii.net/scarletviolet/pokemon/1004.png"
"1005","Ceruledge","ceruledge","pokemon/ceruledge/","https://www.serebii.net/scarletviolet/pokemon/1005.png"
"1006","Toedscool","toedscool","pokemon/toedscool/","https://www.serebii.net/scarletviolet/pokemon/1006.png"
"1007","Toedscruel","toedscruel","pokemon/toedscruel/","https://www.serebii.net/scarletviolet/pokemon/1007.png"
"1008","Kingambit","kingambit","pokemon/kingambit/","https://www.serebii.net/scarletviolet/pokemon/1008.png"
"1009","Clodsire","clodsire","pokemon/clodsire/","https://www.serebii.net/scarletviolet/pokemon/1009.png"
"1010","Annihilape","annihilape","pokemon/annihilape/","https://www.serebii.net/scarletviolet/pokemon/1010.png"
"128","Paldean Tauros","tauros-paldean","pokemon/tauros/","https://www.serebii.net/scarletviolet/pokemon/128-p.png"
"128","Paldean Tauros (Blaze)","tauros-blaze-paldean","pokemon/tauros/","https://www.serebii.net/scarletviolet/pokemon/128-b.png"
"128","Paldean Tauros (Aqua)","tauros-aqua-paldean","pokemon/tauros/","https://www.serebii.net/scarletviolet/pokemon/128-a.png"
"194","Paldean Wooper","wooper-paldean","pokemon/wooper/","https://www.serebii.net/scarletviolet/pokemon/194-p.png"
